ID_texts,ID,locale,title,descr
d1f4b8a2-9c3e-4c5a-bc7d-1a2f9e1c9a01,203,en,Amar Chitra Katha,"Amar Chitra Katha is a popular Indian comic book series founded by Anant Pai in 1967. It features stories from Indian mythology, history, and folklore, aimed at educating children through engaging visuals and narratives."
e2a7c9b3-8d4e-4e6b-9f1a-2b3f0e2d9b02,203,hi,अमर चित्र कथा,"अमर चित्र कथा एक प्रसिद्ध भारतीय कॉमिक श्रृंखला है जिसकी स्थापना 1967 में अनंत पाई ने की थी। इसमें भारतीय पौराणिक कथाओं, इतिहास और लोककथाओं की कहानियाँ चित्रों और संवादों के माध्यम से प्रस्तुत की जाती हैं।"
f3b8d0c4-7e5f-4f7c-8a2b-3c4f1f3e0c03,204,en,Five Point Someone,"Five Point Someone is a novel by Chetan Bhagat, published in 2004. It explores the lives of three IIT students struggling with the academic system and personal relationships."
g4c9e1d5-6f6e-4g8d-9b3c-4d5g2g4f1d04,204,de,Fünf-Punkte-Irgendwer,"Fünf-Punkte-Irgendwer ist ein Roman von Chetan Bhagat, der 2004 veröffentlicht wurde. Er erzählt die Geschichte von drei Studenten am Indian Institute of Technology, die mit dem akademischen Druck und persönlichen Herausforderungen kämpfen."
h5d0f2e6-5g7f-5h9e-0c4d-5e6h3h5g2e05,205,en,The God of Small Things,"The God of Small Things is a Booker Prize-winning novel by Arundhati Roy, set in Kerala. It tells the story of fraternal twins whose lives are shaped by tragic events and societal norms."
i6e1g3f7-4h8g-6i0f-1d5e-6f7i4i6h3f06,205,fr,Le Dieu des Petites Choses,"Le Dieu des Petites Choses est un roman d’Arundhati Roy, lauréat du Booker Prize. Situé au Kerala, il raconte l’histoire de jumeaux dont la vie est marquée par des événements tragiques et les normes sociales."
j7f2h4g8-3i9h-7j1g-2e6f-7g8j5j7i4g07,207,en,My Gita,"My Gita is a modern interpretation of the Bhagavad Gita by Devdutt Pattanaik. It presents philosophical concepts in a contemporary and accessible format."
k8g3i5h9-2j0i-8k2h-3f7g-8h9k6k8j5h08,207,de,Meine Gita,"Meine Gita ist eine moderne Interpretation der Bhagavad Gita von Devdutt Pattanaik. Sie präsentiert philosophische Konzepte in einem zeitgemäßen und zugänglichen Format."
l9h4j6i0-1k1j-9l3i-4g8h-9i0l7l9k6i09,209,en,Indigo,"Indigo is a collection of short stories by Satyajit Ray, blending mystery, science fiction, and satire. It showcases Ray’s versatility as a storyteller beyond cinema."
m0i5k7j1-0l2k-0m4j-5h9i-0j1m8m0l7j10,209,hi,इंडिगो,"इंडिगो सत्यजीत रे की लघु कथाओं का संग्रह है जिसमें रहस्य, विज्ञान कथा और व्यंग्य का मिश्रण है। यह रे की बहुआयामी प्रतिभा को दर्शाता है।"
